0,2.9159
0.01,3.0203
0.02,3.4508
0.03,3.2668
0.04,3.1813
0.05,3.1038
0.06,2.9497
0.07,3.4417
0.08,3.3455
0.09,3.2983
0.1,3.3124
0.11,3.1847
0.12,3.3291
0.13,3.2407
0.14,3.0897
0.15,3.3674
0.16,3.1218
0.17,3.1757
0.18,3.1935
0.19,3.2992
0.2,3.4578
0.21,3.3188
0.22,3.1811
0.23,3.4711
0.24,3.0575
0.25,3.445
0.26,3.3548
0.27,3.3696
0.28,3.4861
0.29,3.153
0.3,3.5007
0.31,3.3687
0.32,3.4776
0.33,3.5142
0.34,3.5739
0.35,3.3246
0.36,3.3808
0.37,3.4965
0.38,3.2185
0.39,3.4122
0.4,3.3429
0.41,3.7976
0.42,3.5156
0.43,3.6707
0.44,3.4252
0.45,3.5359
0.46,3.379
0.47,3.6236
0.48,3.775
0.49,3.6589
0.5,3.8178
0.51,3.4789
0.52,3.4892
0.53,3.4534
0.54,3.5877
0.55,3.6668
0.56,3.4182
0.57,3.7348
0.58,3.5918
0.59,3.6973
0.6,3.593
0.61,3.6052
0.62,3.6851
0.63,3.674
0.64,3.6594
0.65,3.7668
0.66,3.9044
0.67,3.6803
0.68,3.8329
0.69,3.8395
0.7,3.6099
0.71,3.7103
0.72,3.8322
0.73,3.7197
0.74,3.7595
0.75,3.5844
0.76,3.5719
0.77,3.9648
0.78,4.0508
0.79,3.9791
0.8,3.7048
0.81,3.9067
0.82,3.8552
0.83,3.6293
0.84,3.9714
0.85,3.6782
0.86,4.1378
0.87,3.7083
0.88,3.8898
0.89,3.8817
0.9,4.0332
0.91,3.7694
0.92,4.1684
0.93,4.0683
0.94,4.0129
0.95,4.0029
0.96,3.9654
0.97,4.0275
0.98,4.1941
0.99,3.8852
1,4.1258
1.01,3.9419
1.02,4.3576
1.03,3.8064
1.04,4.0248
1.05,3.9133
1.06,4.4273
1.07,3.7864
1.08,4.354
1.09,4.2111
1.1,4.232
1.11,3.9913
1.12,4.2012
1.13,3.9989
1.14,4.236
1.15,4.3197
1.16,4.4232
1.17,4.0386
1.18,4.2767
1.19,4.216
1.2,4.0182
1.21,4.2764
1.22,4.3801
1.23,4.4249
1.24,4.0429
1.25,4.3262
1.26,4.4083
1.27,4.303
1.28,4.358
1.29,4.1695
1.3,4.2423
1.31,4.3984
1.32,4.3371
1.33,4.1533
1.34,4.2581
1.35,4.3119
1.36,4.2582
1.37,4.6656
